City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Black River,JM,2020-01-05 06:27:14,18.03,-77.85,80.01,88,40,4.7
1,Labuhan,ID,2020-01-05 06:27:14,-2.54,115.51,86.14,63,100,3.27
2,Lorengau,PG,2020-01-05 06:27:15,-2.02,147.27,82.74,79,96,15.55
3,Cidreira,BR,2020-01-05 06:27:15,-30.17,-50.22,72.59,83,12,15.99
4,Bathsheba,BB,2020-01-05 06:27:15,13.22,-59.52,77.0,78,20,6.93
5,Banda Aceh,ID,2020-01-05 06:26:20,5.56,95.32,87.19,56,35,9.04
6,Airai,TL,2020-01-05 06:27:16,-8.93,125.41,79.54,70,99,4.09
7,Rikitea,PF,2020-01-05 06:27:16,-23.12,-134.97,75.9,72,42,16.87
8,Egvekinot,RU,2020-01-05 06:27:16,66.32,-179.17,-12.3,68,0,11.99
9,Yellowknife,CA,2020-01-05 06:25:12,62.45,-114.38,0.0,84,90,16.11
10,Nikolskoye,RU,2020-01-05 06:27:16,59.7,30.79,32.0,83,75,22.37
11,Jamestown,AU,2020-01-05 06:25:27,-33.21,138.6,54.86,80,100,7.65
12,Iqaluit,CA,2020-01-05 06:26:05,63.75,-68.52,-29.0,60,5,17.22
13,Troy,US,2020-01-05 06:27:17,42.73,-73.69,36.0,80,90,4.7
14,Te Anau,NZ,2020-01-05 06:27:17,-45.41,167.72,47.28,70,88,15.66
15,Butaritari,KI,2020-01-05 06:27:17,3.07,172.79,84.74,78,82,11.52
16,Charters Towers,AU,2020-01-05 06:27:18,-20.07,146.27,89.98,39,1,19.89
17,Biguacu,BR,2020-01-05 06:24:55,-27.49,-48.66,71.01,100,75,6.93
18,Thyolo,MW,2020-01-05 06:27:18,-16.07,35.15,73.65,87,100,1.63
19,Kruisfontein,ZA,2020-01-05 06:26:01,-34.0,24.73,69.15,67,68,16.42
20,Dikson,RU,2020-01-05 06:27:18,73.51,80.55,7.5,89,100,22.7
21,Georgetown,GY,2020-01-05 06:27:19,6.8,-58.16,77.95,76,36,12.73
22,Saskylakh,RU,2020-01-05 06:27:19,71.97,114.09,-21.05,93,17,7.65
23,Hof,DE,2020-01-05 06:27:19,50.32,11.92,35.01,94,90,4.07
24,Port Alfred,ZA,2020-01-05 06:27:19,-33.59,26.89,71.01,98,100,10.0
25,Panaba,MX,2020-01-05 06:27:19,21.28,-88.27,70.86,71,75,10.74
26,Ahipara,NZ,2020-01-05 06:26:47,-35.17,173.16,66.0,80,47,17.69
27,Noumea,NC,2020-01-05 06:26:37,-22.28,166.46,86.0,55,20,24.16
28,Avarua,CK,2020-01-05 06:26:37,-21.21,-159.78,80.6,83,14,1.12
29,Upernavik,GL,2020-01-05 06:25:48,72.79,-56.15,-35.79,91,57,9.44
30,Hithadhoo,MV,2020-01-05 06:27:20,-0.6,73.08,84.18,67,62,6.15
31,Xichang,CN,2020-01-05 06:27:21,27.88,102.25,44.46,67,53,12.46
32,Baruun-Urt,MN,2020-01-05 06:27:21,46.68,113.28,19.11,80,100,2.15
33,Sumenep,ID,2020-01-05 06:27:21,-7.02,113.87,86.47,70,85,9.86
34,Jieshi,CN,2020-01-05 06:27:21,22.82,115.83,73.99,67,94,11.72
35,Mezhova,UA,2020-01-05 06:27:22,48.26,36.73,31.75,98,100,3.96
36,Tuktoyaktuk,CA,2020-01-05 06:27:22,69.44,-133.03,-25.6,67,20,12.75
37,Thompson,CA,2020-01-05 06:25:30,55.74,-97.86,5.0,84,90,8.05
38,San Patricio,PY,2020-01-05 06:27:22,-26.98,-56.83,70.97,68,0,4.65
39,Punta Arenas,CL,2020-01-05 06:23:32,-53.16,-70.91,48.2,81,90,9.17
40,Livani,LV,2020-01-05 06:27:23,56.35,26.18,30.36,75,7,6.93
41,Longyearbyen,NO,2020-01-05 06:27:23,78.22,15.63,6.8,65,40,1.12
42,Carnarvon,ZA,2020-01-05 06:27:23,-30.97,22.13,71.24,49,8,4.63
43,Biak,ID,2020-01-05 06:27:02,-0.91,122.88,78.71,83,100,9.44
44,Ushuaia,AR,2020-01-05 06:27:24,-54.81,-68.31,50.0,66,40,10.29
45,Hobart,AU,2020-01-05 06:24:23,-42.88,147.33,69.01,42,5,16.11
46,Kapaa,US,2020-01-05 06:27:24,22.08,-159.32,73.4,94,90,19.46
47,Saint George,GR,2020-01-05 06:27:25,39.45,22.34,41.0,60,40,4.7
48,Moba,CD,2020-01-05 06:27:25,-7.04,29.77,77.16,71,93,6.64
49,Okha,RU,2020-01-05 06:27:25,53.59,142.95,18.41,94,100,22.37
50,Chapais,CA,2020-01-05 06:27:25,49.78,-74.86,5.0,92,90,5.82
51,Mataura,NZ,2020-01-05 06:27:25,-46.19,168.86,55.0,70,51,18.99
52,Khatanga,RU,2020-01-05 06:25:42,71.98,102.47,-21.17,88,0,8.86
53,Arraial Do Cabo,BR,2020-01-05 06:25:36,-22.97,-42.02,75.25,88,100,11.14
54,Atuona,PF,2020-01-05 06:25:47,-9.8,-139.03,81.03,70,0,5.41
55,Quibor,VE,2020-01-05 06:27:26,9.93,-69.62,62.42,89,0,3.33
56,Naze,NG,2020-01-05 06:27:27,5.43,7.07,68.86,29,17,4.23
57,Albany,US,2020-01-05 06:24:33,42.65,-73.75,36.0,80,90,4.7
58,Makakilo City,US,2020-01-05 06:27:27,21.35,-158.09,75.99,83,75,6.93
59,Port Elizabeth,US,2020-01-05 06:27:27,39.31,-74.98,44.01,87,90,14.99
60,Santa Fe,AR,2020-01-05 06:27:28,-31.62,-60.7,75.0,69,0,1.99
61,Ewo,CG,2020-01-05 06:27:28,-0.88,14.81,74.84,79,69,3.24
62,Walvis Bay,NA,2020-01-05 06:26:49,-22.95,14.51,62.01,87,90,6.93
63,Mar Del Plata,AR,2020-01-05 06:27:29,-46.43,-67.52,58.86,41,87,11.34
64,Vaini,IN,2020-01-05 06:27:29,15.34,74.49,77.0,53,20,9.17
65,New Norfolk,AU,2020-01-05 06:25:18,-42.78,147.06,69.01,42,0,16.11
